name,category_code,total_money_raised,country_code,city,address,zip_code,latitude,longitude
Digg,news,$45M,USA,San Francisco,135 Mississippi St,94107,37.764726,-122.394523
Joost,games_video,$45M,USA,New York,100 5th Ave Fl 6,10011-6903,40.7464969,-74.0094471
SpinVox,messaging,$106M,GBR,Buckinghamshire,"Wethered House, Pound Lane",SL7 2AF,,
AddThis,advertising,$73M,USA,Vienna,1595 Spring Hill Road,22182,38.926172,-77.245195
Mahalo,web,$21M,USA,Culver City,3525 Eastham Dr.,90232,34.017606,-118.487267
Thoof,web,$1M,USA,Austin,,,30.268735,-97.745209
Mercora,web,$5M,USA,Sunnyvale,440 N. Wolfe Road,94085,37.384239,-122.012475
LifeLock,security,$178M,USA,Tempe,"60 E. Rio Salado Pkwy, Suite 400",85281,33.429859,-111.938739
Jangl SMS,web,$9M,USA,Pleasanton,6601 Owens Dr # 240,94588,37.697805,-121.907768
Prosper,finance,$120M,USA,San Francisco,101 2nd Street,94105,37.78976,-122.402524
Google,search,$555M,USA,Mountain View,1600 Amphitheatre Parkway,,37.421972,-122.084143
Jajah,mobile,$33M,USA,Mountain View,2513 Charleston Road,94043,37.4233896,-122.0899512
blogTV,games_video,$3M,ISR,Ramat Gan,30 Ben Gurion St.,52573,31.046051,34.851612
AdaptiveBlue,games_video,$24M,USA,NYC,131 Varick St,10013,40.801358,-74.3372
Pando Networks,games_video,$11M,USA,New York,520 Broadway,10012,40.722655,-73.99873
GrandCentral,mobile,$4M,USA,Fremont,"48389 Fremont Blvd., Suite #110",94538,37.465645,-121.932202
Topix,web,$15M,USA,Palo Alto,,94301,37.44296,-122.151198
Revision3,games_video,$9M,USA,San Francisco,2415 3rd St,94107,37.757758,-122.388243
Spock,search,$7M,USA,SCHUYLER LAKE,P.O. BOX 150,13457,37.488336,-122.217964
SellABand,games_video,$5M,DEU,46395 Bocholt,Harderhook 22,,51.808933,6.553452
Funny Or Die,games_video,$18M,USA,San Mateo,167 2nd Ave,94401,37.421621,-122.137444
MeeVee,games_video,$25M,USA,Burlingame,"500 Airport Blvd., Suite 400",94010,37.590339,-122.341715
