name,category_code,number_of_employees,total_money_raised,country_code,city,address,zip_code,latitude,longitude
Digg,news,60.0,$45M,USA,San Francisco,135 Mississippi St,94107,37.764726,-122.394523
Adobe Systems,software,7173.0,$0,USA,San Jose,,,37.320052,-121.877636
Negonation,web,3.0,$0,ESP,,,,40.463667,-3.74922
GENWI,mobile,25.0,$7.1M,USA,Los Altos,4966 El Camino Real,94022,33.8171,-111.9035
Aviary,mobile,16.0,$19M,USA,NY,243 West 30th Street,10001,,
BrightQube,ecommerce,0.0,$850k,USA,Carlsbad,,92009,33.09568,-117.244034
Ponoko,ecommerce,9.0,$0,USA,Oakland,3431 Louise Street,94608,37.8136086,-122.2966496
Wix,web,400.0,$58.5M,ISR,Tel Aviv,,,,
Gilt Groupe,fashion,,$236M,USA,New York,2 Park Ave Fl 4,10016-5602,40.74727,-73.9800645
AF83,web,55.0,$0,FRA,PARIS,15 rue PoissonniÃ¨re,75002,48.862063,2.35022
Sitemasher,enterprise,12.0,C$5M,CAN,Vancouver,Suite 200,V5Y1J5,,
cScape,web,70.0,$0,GBR,London,4 Pear Tree Court,EC1R 0DS,51.523676,-0.107843
EnergyWeb Solutions,ecommerce,4.0,$100k,USA,Allentown,PO Box 3655,18106,40.58471,-75.588974
ProofHQ,software,,$0,GBR,London,66 High St,,51.5320478,-0.011154
99designs,design,100.0,$35M,USA,San Francisco,447 Battery St.,94111,37.7955307,-122.4005983
Digital-Telepathy,,,$0,USA,San Diego,2970 Fifth Avenue,92103,32.736369,-117.160619
Feng-GUI,software,,$0,ISR,Tel Aviv,,,32.0554,34.7595
Dotndot,software,5.0,$0,IND,Hyderabad,,500017,,
Osidosi Solutions,software,,$0,CAN,,,,56.130366,-106.346771
Less Everything,advertising,5.0,$0,USA,Jacksonville,11250 Old St. Augustine Rd. #15-164,32257,,
Mojizu,network_hosting,,$0,USA,Irvine,10 Corporate Park,92606,33.690354,-117.829435
Carsonified,,,$0,GBR,Bath,19c Charles Street,BA1 1HX,51.381732,-2.365654
Sososher,web,,$0,GBR,London,,,51.500152,-0.126236
Designing Interactive,advertising,7.0,$0,USA,Rocky River,20545 Center Ridge Rd. Ste 202,44116,,
RiDE Group,consulting,1.0,$0,USA,Newark,,,39.677485,-75.753563
Weardrobe,web,2.0,$0,USA,Palo Alto,241 Everett Ave,94301,37.446662,-122.164925
Brilliant2,advertising,5.0,$0,USA,Los Angeles,12207 Wilshire Blvd.,90025,34.043228,-118.46856
EasyLink,network_hosting,20.0,$5.4M,IND,Chennai,"C-Block, 1st floor, Bharathiar Complex",600028,,
Shopflick,ecommerce,10.0,$8M,USA,Los Angeles,10500 W. Pico Blvd,90064,34.044939,-118.419067
PixelCrayons,web,200.0,$0,USA,New York,228 Park Ave S # 25950,10003,28.682042,77.087502
Trunkt,ecommerce,2.0,$0,,,,,,
myTino,software,100.0,$0,CHN,Hangzhou,"14th Floor, East Software Park, 90 Wensan Road",310012,,
Visible Theory,web,,$0,USA,Pasadena,1005 E. Colorado Blvd.,91106,34.145904,-118.129329
Janmedia Interactive,web,40.0,$0,USA,Falls Church,7247 Lee Highway,22042,38.878596,-77.185057
Cutcaster,web,8.0,$0,USA,San Francisco,39 Mesa St.,94129,37.79851,-122.457454
Mad Mimi,web,35.0,$110k,USA,Brooklyn,172 Fifth Avenue,11215,40.66509,-73.980306
New York Designs,network_hosting,12.0,$0,USA,New York,4530 41 Street,11104,40.743264,-73.923427
Apperceptive,web,,$0,,,,,,
Tornado Design,web,4.0,$0,USA,Phoenix,100 West Camelback Rd.,85013,33.479692,-111.980855
Springleap,advertising,3.0,$0,ZAF,Cape Town,"42 Kloof St, 4th Flr Earlgo, Cnr Kloof St and Park St,",8005,,
Inovatis,web,2.0,$0,FRA,Lipsheim,5 rue Massenet,67640,48.491885,7.664067
Tumblize,web,,$0,USA,,,,37.09024,-95.712891
Phi Media,web,3.0,$0,CAN,Toronto,"1266 Queen Street West, studio 2",M6K 1L3,,
SEO Workers,consulting,2.0,$0,DEU,Augsburg,Willi-Stoer Str. 4,86159,48.333702,10.90602
JumpFrog,consulting,12.0,$0,USA,Hazleton,103 Rotary Drive,18202,40.977855,-76.029511
deviantART,web,120.0,$13.5M,USA,Hollywood,7095 Hollywood Blvd #788,90028,34.101578,-118.33334
Crunchlabz,web,,$0,NLD,Rotterdam,Postbus 352,3000AJ,,
MakeMyLink,advertising,,$0,IND,new delhi,"j101, kaveri aprt, plot 4, sector 6",110075,,
Global Business Development Services,public_relations,6.0,$0,USA,Ashland,800 Liberty St.,97520,42.1827347,-122.7032759
ExpertsYard,ecommerce,8.0,$0,USA,Dallas,"Taxas, Dallas",75201,32.789215,-96.788551
Acquity Group,ecommerce,500.0,$0,USA,Chicago,500 West Madison Street,60606,41.881876,-87.639713
InterGraphicDESIGNS,network_hosting,25.0,$0,CRI,"TibÃ¡s, San JosÃ©",400mts sur de la Iglesia CatÃ³lica de TibÃ¡s,81-1100 TibÃ¡s,,
Monkey in your Soul,software,1.0,$0,CAN,Toronto,,,43.670233,-79.386755
AdapDev IT Web Design,web,1.0,$0,USA,Puyallup,11012 Canyon Rd E.,98373,47.156038,-122.357183
Artifex Animation Studios,web,15.0,$0,CAN,Montreal,6915 St-Hubert,H2S2M7,45.539065,-73.609532
Fabric Interactive,consulting,10.0,$0,USA,Los Angeles,201 N Westmoreland Ave Suite 106,90004,34.0748,-118.288536
RMW Web Publishing,web,2.0,$0,AUS,Bathurst,,2795,-33.41978,149.574258
FliteHaus Creative Agency,advertising,4.0,$0,USA,Oviedo,3000 Dovera Drive,32765,28.544123,-81.366414
Majides,web,,$0,JPN,,,,36.204824,138.252924
ArcStone Technologies,public_relations,20.0,$0,USA,Minneapolis,104 West Franklin,55404,44.962697,-93.279911
Mobile Rider,software,9.0,$0,USA,Salt Lake City,1435 So. State Street,84115,40.739109,-111.887733
Bonsource Technology,other,25.0,$0,IND,Chennai,"Office No. 5, 5th Floor, Gokul Arcade,",600020,,
Wilogo,web,0.0,$0,FRA,Saint Chamond,"7, quai de la Rive",42400,45.509034,4.580496
22Plus Network,advertising,,$0,ROM,Iasi,"24th Pacurari Street,",700511,,
Synthetic Entertainment,web,,$0,USA,Manhattan,P.O.Box 1072,66505,39.1967,-96.5956
939 Design,web,2.0,$0,GBR,East Yorkshire,10 The Circle,HU13 0QJ,53.725204,-0.439392
BootB,advertising,10.0,$0,,,,,,
Zulu Creative,advertising,10.0,$0,GBR,West Midlands,309 Lichfield Road,B74 4BZ,52.588545,-1.830892
Making Sense,software,100.0,$0,USA,San Antonio,401 East Houston St,78205,29.516352,-98.43676
MakeFive,other,2.0,$0,CAN,"Vancouver, BC",1205 - 207 W. Hastings Street,V6B 1H7,49.2839417,-123.1101383
New Media Strategies,advertising,120.0,$0,USA,Arlington,1100 Wilson Boulevard,22209,,
Louis Vuitton,other,9671.0,$0,FRA,Paris,101 Avenue des Champs ElysÃ©es,75008,48.871976,2.30069
Fashionspace,ecommerce,,$0,GBR,Guernsey,F5 Hirzel Court,GY1 4HU,,
Addesso,web,5.0,$0,USA,Drexel Hill,374 Upland Way,19026,39.947465,-75.288083
Aurus IT Solutions,software,18.0,$0,IND,Mumbai,"Vrindavan, Meera Bagh,",400056,,
Ensign Technologies,consulting,2.0,$0,USA,Springfield,912 West Walnut Street,65806,37.207262,-93.302443
modula,search,,$0,,,,,,
Bilende Technologies,software,,$100k,TUR,Istanbul,Kurabiye Sokak 8/4,34435,,
Rui Peixeiro,web,1.0,$0,PRT,CovilhÃ£,,6200,40.29416,-7.469215
Talent Gurus,consulting,500.0,$0,USA,Houston,"2313 Timber Shadows Drive, Ste. 200",77339,30.050837,-95.230789
Tangivel,other,,$0,PRT,Coimbra,Quinta da Nora,3030-199 Coimbra,40.19266,-8.418228
Union Street Media,ecommerce,20.0,$0,USA,Burlington,444 South Union Street,05401,44.468055,-73.207641
Klee Group,enterprise,300.0,$0,FRA,Le Plessis Robinson,Centre d'Affaires La BoursidiÃ¨re,92357,,
QRIU,public_relations,5.0,$0,PRT,,,,,
Catalyst Resources,enterprise,,$0,USA,San Mateo,1700 South El Camino Real,94402,37.552137,-122.314156
ShopMyCloset,ecommerce,4.0,$0,USA,,,,,
Mashware,advertising,1.0,$0,,,,,,
DesignBay,ecommerce,5.0,$0,,,,,,
vunite media,public_relations,3.0,$0,USA,Salt Lake City,115 South 1100 East #505,84102,40.766429,-111.858952
MEDDIA,public_relations,8.0,$0,ESP,Barcelona,Av. Diagonal 237,08013,41.4018094,2.1815648
Meetweb,advertising,10.0,$0,ITA,Napoli,Via del Parco Margherita 32,80121,40.838338,14.235889
ecreative,other,,$0,TUR,istanbul,haci izzet sok. 13/1 moda,80300,,
Anubavam,enterprise,40.0,$0,USA,San Antonio,7801 Broadway Ste 205,78209,29.743772,-98.692465
Dot Com Infoway France,advertising,200.0,$0,IND,Chennai,"""GNG House""",600 102,13.11352,80.152135
IDEO,consulting,500.0,$0,USA,Palo Alto,100 Forest Avenue,94301,37.441971,-122.161151
Ammunition Group,public_relations,,$0,USA,San Francisco,Randomhouse One,94111,,
Spoiltchild,advertising,4.0,$0,IRL,Drogheda,Units 1 & 2 Broughton House,,40.19036,-74.840241
KIPL,mobile,35.0,$0,IND,Mumbai (Bombay),506 - Arcadia,400021,,
Fixie,software,2.0,$0,USA,Seattle,1008 Western Ave,98104,47.6042792,-122.3374372
Bizcard,other,24.0,$0,USA,Scottsdale,PO Box 15190,85267,33.5093,-111.8985
Gorenje,other,11000.0,$0,AUT,Wien,"SÃ¼dbahnhofgelÃ¤nde, StraÃŸe C",A-1101,,
Adorn Technologies,web,7.0,$0,IND,Coimbatore,Koundampalayam,641030,,
ecimtech,consulting,20.0,$0,,,,,,
IPsupermarket,enterprise,65.0,$0,IND,Bangalore,"Unit No. G002, Gamma Block",560066,,
Continuum,consulting,145.0,$0,USA,West Newton,1220 Washington Street,02465,42.349239,-71.223834
Aldor Solutions,enterprise,20.0,$0,USA,Plano,860 F Avenue,75074,33.010381,-96.705127
Biden PC,consulting,1.0,$0,USA,Pomona,450 West FoothilL Blvd.,91767,34.109193,-117.755169
Wharton Website Design and Marketing,advertising,,$0,USA,Mountain Home,1417 Cresswell Drive,72653,36.338746,-92.363837
Reverb Studios,web,1.0,$0,IRL,Carrick-on-Shannon,Lisnagea,Leitrim,,
Leafish,network_hosting,2.0,$0,GBR,Wrexham,PO Box 2072,LL11 4ZG,,
Ocean Online Group,web,25.0,$0,USA,Chicago,200 North Michigan Ave,60601,41.886088,-87.624983
Coomer Media Group,consulting,6.0,$0,USA,Richmond,106 East Main St.,40475,37.747342,-84.294064
White Light Concepts,advertising,,$0,,,,,,
DigitiseUrDreams,consulting,,$0,,,,,,
WebMedic,web,5.0,$0,NLD,Delft,Kanaalweg 1,2628 EB,52.004819,4.35927
Minted,ecommerce,115.0,$52.7M,USA,San Francisco,747 Front Street,94111,37.797435,-122.403175
Media Lantern,advertising,9.0,$250k,USA,New London,236 State St,06320,41.354796,-72.097348
I-COM,advertising,21.0,$0,GBR,Manchester,Lloyd's House,M2 5WA,53.385028,-2.354238
Qovax,software,2.0,$0,USA,Agoura Hills,,,34.146149,-118.761265
StyleCard,web,10.0,$0,USA,New York,61 Jane Street,10014,40.738137,-74.0058
Handcrafted,consulting,5.0,$0,USA,Houston,,77070,29.983076,-95.5627227
Relativity,consulting,4.0,$0,USA,N. Attleboro,65 Rodney Lecours Dr,02760,41.957177,-71.3607
XFRIDAY,ecommerce,50.0,$0,IND,Faridabad,,,28.382219,77.303093
Mightybytes,games_video,8.0,$0,USA,Chicago,5235 N. Clark St.,60640,41.977257,-87.668365
EffectiveUI,software,97.0,$0,USA,Denver,2162 Market St.,80205,39.755152,-104.990968
LucrativDesigns,search,4.0,$0,,,,,,
Goldstein Media,advertising,2.0,$0,USA,Bensalem,P.O. Box 1881,19020,40.10115,-74.941677
WebMindz24,other,,$0,,,,,,
Amnesia Group,search,70.0,$0,AUS,East Sydney,"20 Hargraue Street,",2010,-33.876658,151.213362
Virtually Canadian,advertising,8.0,$0,CAN,Vancouver,#401-788 Beatty Street,V6B 2M1,49.277711,-123.113775
Kinoma,mobile,,$0,USA,Palo Alto,855 El Camino Real,94301,37.43938,-122.158804
Magic Logix,advertising,15.0,$0,USA,Carrollton,3234 Commander Dr,75006,32.976452,-96.843958
The Tin,web,10.0,$0,GBR,London,24-28a Hatton Wall,EC1N 8JH,51.52129,-0.10978
designgeist,web,1.0,$0,,,,,,
CompuBase Internet Solutions,software,4.0,$0,NLD,Mill,Eerste Industrieweg 15a,5451 GV,51.67937,5.782043
Albion,advertising,54.0,$0,GBR,London,Tea Building,E16JJ,,
Squiz UK,web,30.0,$0,GBR,London,109-123 Clifton Street,EC2A 4LD,51.521603,-0.083444
NuZoo Media,games_video,,$0,,,,,,
e-Man,web,18.0,$0,GBR,"London,",57-61 Mortimer Street,W1W 8HS,51.517712,-0.141022
Dreams Media,consulting,3.0,$0,IND,Mumbai,"B/501, Mansi Apt., Near Vijay Park, Mira Road East",401107,,
Design by Humans,web,15.0,$0,USA,Chico,1262 Humboldt Ave,95928,39.7324184,-121.8211856
Digital Stampede,web,5.0,$0,USA,Chicago,,60625,41.972002,-87.703656
D2 Creative,advertising,80.0,$0,USA,Somerset,28 Worlds Fair Drive,08873,40.531055,-74.519047
Face Your Manga,web,,$0,,,,,,
AYCE Internet,advertising,8.0,$0,CAN,Toronto,Suite #4,m5p3l1,,
Snaptortoise,web,,$0,USA,Portland,3001-C SE Belmont,97214,45.516621,-122.63457
Sixty Five Design,advertising,,$0,USA,Beverly Hills,269 South Beverly Drive Suite 920,90212,,
HelpMeTy,hardware,16.0,$0,USA,New Brighton,201 5th Ave SW,55112,45.045772,-93.190885
Ecolect,cleantech,3.0,$0,USA,San Francisco,19 Rausch Street,9403,37.776769,-122.410111
Insyde,advertising,7.0,$0,NLD,Delft,Singelstraat 1a,2613 EM,52.0112727,4.3532861
tish-o,public_relations,20.0,$0,TUR,Istanbul,"Dolum Tesisleri Yolu, Sehit Zafer Sokak",34310,,
FashionFreax GmbH,web,,$0,DEU,WÃ¤chtersbach,Bleichgartenstr. 11,63607,52.537588,13.37402
Pond5,ecommerce,25.0,$500k,USA,Brooklyn,155 Water Street,11201,40.7032884,-73.9878525
CoffeeCup Software,software,17.0,$0,USA,Atlanta,165 Courtland St,30303,,
Hyva IT Solutions,software,70.0,$0,IND,Bangalore,"697 / 75, 30th Cross, Swagath Main Road,",560041,,
Interworld Commnet,advertising,,$0,,,,,,
Synergie Media,advertising,3.0,$0,MAR,Agadir,"325, Hassan II Avenue",80000,,
dimension5 labs,advertising,11.0,$0,USA,Santa Fe,1025 Don Diego Ave,87505,35.6746751,-105.9484344
Mobclix,mobile,26.0,$0,USA,Palo Alto,102 University Ave,94301,37.448598,-122.158497
Popego,advertising,120.0,$0,ARG,Buenos Aires,Cabrera 5722 #1,1414BHH,,
IncSpring,public_relations,9.0,$0,USA,San Antonio,70 NE Loop 410,78216,29.520005,-98.488402
SG2,advertising,35.0,$0,ARG,Capital Federal,Pellegrini 1043 1er y 3er piso,1009,,
Blank Canvas Studios,web,2.0,$0,,,,,,
GreenLogic India Tecnologies,advertising,10.0,$0,IND,Bangalore,"#202/3, 29th Main,",560068,12.9093426,77.5833979
Wonsys,consulting,3.0,$0,ITA,Milan,"Via Castel Morrone, 1",20129,45.468399,9.214761
Milobox,advertising,,$0,USA,San Francisco,,94109,37.792979,-122.421242
Davai Design,web,5.0,$0,CAN,Montreal,,H3S 1X1,45.496141,-73.63222
Intelligenes,software,13.0,$0,PAK,Karachi,"Suite 1002, Tenth Floor, Dilkusha Forum",75400,24.9068278,67.0806218
SnapPages,web,4.0,$0,USA,Austin,13091 Pond Springs Rd.,78729,30.443493,-97.77512
Raizlabs,software,14.0,$0,USA,Boston,10 Milk St,02108,,
Cinergix,public_relations,,$0,AUS,Melbourne,61/39 Rathdowne Street,3053,-37.793125,144.971266
GolterGraphix,public_relations,27.0,$0,USA,Rochester,,03867,43.3104064,-70.9903438
Fresh Web Services,ecommerce,2.0,$0,GBR,Leicester,LCB Depot,LE1 1RE,,
Nealite,consulting,35.0,$0,FRA,Paris,10 rue du Faubourg PoissonniÃ¨re,75010,,
Spiral Shell Web LLC,public_relations,2.0,$0,USA,East Hampton,39 Clark Hill Rd,06424,41.595196,-72.51949
DESIGN about TOWN,web,3.0,$0,USA,SF,18 Bartol Street,94133,37.797909,-122.403312
HelpMeTy,hardware,16.0,$0,USA,New Brighton,201 5th Ave SW,55112,45.045772,-93.190885
Ecolect,cleantech,3.0,$0,USA,San Francisco,19 Rausch Street,9403,37.776769,-122.410111
Insyde,advertising,7.0,$0,NLD,Delft,Singelstraat 1a,2613 EM,52.0112727,4.3532861
tish-o,public_relations,20.0,$0,TUR,Istanbul,"Dolum Tesisleri Yolu, Sehit Zafer Sokak",34310,,
FashionFreax GmbH,web,,$0,DEU,WÃ¤chtersbach,Bleichgartenstr. 11,63607,52.537588,13.37402
Pond5,ecommerce,25.0,$500k,USA,Brooklyn,155 Water Street,11201,40.7032884,-73.9878525
CoffeeCup Software,software,17.0,$0,USA,Atlanta,165 Courtland St,30303,,
Hyva IT Solutions,software,70.0,$0,IND,Bangalore,"697 / 75, 30th Cross, Swagath Main Road,",560041,,
Interworld Commnet,advertising,,$0,,,,,,
Synergie Media,advertising,3.0,$0,MAR,Agadir,"325, Hassan II Avenue",80000,,
dimension5 labs,advertising,11.0,$0,USA,Santa Fe,1025 Don Diego Ave,87505,35.6746751,-105.9484344
Mobclix,mobile,26.0,$0,USA,Palo Alto,102 University Ave,94301,37.448598,-122.158497
Popego,advertising,120.0,$0,ARG,Buenos Aires,Cabrera 5722 #1,1414BHH,,
IncSpring,public_relations,9.0,$0,USA,San Antonio,70 NE Loop 410,78216,29.520005,-98.488402
SG2,advertising,35.0,$0,ARG,Capital Federal,Pellegrini 1043 1er y 3er piso,1009,,
Blank Canvas Studios,web,2.0,$0,,,,,,
GreenLogic India Tecnologies,advertising,10.0,$0,IND,Bangalore,"#202/3, 29th Main,",560068,12.9093426,77.5833979
Wonsys,consulting,3.0,$0,ITA,Milan,"Via Castel Morrone, 1",20129,45.468399,9.214761
Milobox,advertising,,$0,USA,San Francisco,,94109,37.792979,-122.421242
Davai Design,web,5.0,$0,CAN,Montreal,,H3S 1X1,45.496141,-73.63222
Intelligenes,software,13.0,$0,PAK,Karachi,"Suite 1002, Tenth Floor, Dilkusha Forum",75400,24.9068278,67.0806218
SnapPages,web,4.0,$0,USA,Austin,13091 Pond Springs Rd.,78729,30.443493,-97.77512
Raizlabs,software,14.0,$0,USA,Boston,10 Milk St,02108,,
Cinergix,public_relations,,$0,AUS,Melbourne,61/39 Rathdowne Street,3053,-37.793125,144.971266
GolterGraphix,public_relations,27.0,$0,USA,Rochester,,03867,43.3104064,-70.9903438
Fresh Web Services,ecommerce,2.0,$0,GBR,Leicester,LCB Depot,LE1 1RE,,
Nealite,consulting,35.0,$0,FRA,Paris,10 rue du Faubourg PoissonniÃ¨re,75010,,
Spiral Shell Web LLC,public_relations,2.0,$0,USA,East Hampton,39 Clark Hill Rd,06424,41.595196,-72.51949
DESIGN about TOWN,web,3.0,$0,USA,SF,18 Bartol Street,94133,37.797909,-122.403312
Zen Web Solutions,advertising,16.0,$0,GBR,Rochdale,Sandbrook Park,OL11 1RY,,
