name,category_code,number_of_employees,total_money_raised,country_code,city,address,zip_code,latitude,longitude
hulu,games_video,153.0,$100M,USA,Los Angeles,12312 W. Olympic Blvd.,90064,34.031276,-118.456806
MediaPops,games_video,0.0,$0,USA,Seattle,,98101,47.611012,-122.333523
Musicshake,games_video,28.0,$3.5M,USA,Los Angeles,3460 Wilshire Blvd. 7FL,90010,,
FlowPlay,games_video,30.0,$3.97M,USA,Seattle,114 Alaskan Way South,98104,47.6015315,-122.335943
RotoHog,games_video,,$8M,USA,Los Angeles,,,33.959799,-118.343938
ChessPark,games_video,,$1M,USA,West Palm Beach,,,43.67084,-83.913153
mig33,games_video,100.0,$32.4M,SGP,Singapore,111 North Bridge Road,179098,37.580304,-122.343679
Realius,games_video,3.0,$500k,USA,Berkeley,"1625 Shattuck Ave, Ste 210",94707,37.887864,-122.26999
Metaplace,games_video,12.0,$9.4M,USA,Solana Beach,415 S Cedros Ave,90275,33.020832,-117.077311
EkkoTV,games_video,0.0,$0,USA,Sunnyvale,,,37.369195,-122.036849
SuTree,games_video,5.0,$0,ISR,Tel Aviv,,,32.0554,34.7595
PlaySpan,games_video,,$46.3M,USA,Santa Clara,,95054,37.396312,-121.961396
Graspr,games_video,,$2.5M,USA,Mountain View,"779 E Evelyn Ave, Suite D",94041,37.384919,-122.053175
Tioti,games_video,3.0,$0,USA,Seattle,14419 Greenwood Avenue N,98133,47.733603,-122.355579
Rupture,games_video,25.0,$3M,USA,San Francisco,400 2nd Street,94107,37.783898,-122.395234
Mixaloo,games_video,4.0,$0,USA,Poughkeepsie,"35 Main Street, Suite 441",12601,41.705555,-73.938638
alluc,games_video,7.0,$0,DEU,Norderstedt,Stormarnstrasse 4,22844,53.707739,10.023246
RayV,games_video,,$16M,USA,New York,"150 West 77, Suite 4",,40.781159,-73.978332
Veodia,games_video,15.0,$8.3M,USA,San Mateo,1825 S Grant Street,94402,37.553743,-122.300246
blinkbox,games_video,,$0,GBR,London,20-24 Kirby Street,EC1N 8TS,51.520779,-0.10759
CollegeHumor,games_video,,$20M,USA,,,,37.09024,-95.712891
Vimeo,games_video,,$0,USA,New York,555 W 18th St,10011-2822,40.7453721,-74.0078293
OnLive,games_video,,$56.5M,USA,Palo Alto,181 Lytton Ave.,94301,37.09024,-95.712891
PicksPal,games_video,,$15M,USA,Mountain View,,,37.40047,-122.072981
Mydeo,games_video,,$0,GBR,Wimbledon,Collingham House 10-12 Gladstone Road,SW19 1QT,,
Zattoo,games_video,45.0,$10M,USA,Ann Arbor,1327 Jones Dr. Suite 106,48105,42.292649,-83.734673
Jango,games_video,,$0,USA,New York,,,40.757929,-73.985506
Qloud,games_video,,$600k,USA,Silver Spring,,,39.016745,-77.023821
FilmCrave,games_video,3.0,$0,USA,,,64064,38.977092,-94.370901
DraftMix,games_video,3.0,$0,USA,Campbell,,,37.279132,-121.956295
Akimbo,games_video,,$35.7M,USA,San Mateo,411 Borel Avenue,94402,37.548482,-122.320534
Fleaflicker,games_video,,$0,USA,Tenafly,PO Box 64,07670,40.916003,-73.952052
GotCast,games_video,5.0,$50k,USA,Los Angleles,"200 S Barrington Ave, # 491141",90049,34.064139,-118.468672
Fix8,games_video,,$5M,USA,Sherman Oaks,15250 Ventura Blvd,91403,34.152826,-118.465582
ZeniMax,games_video,,$586M,USA,Rockville,1370 Piccard Drive,20850,39.105555,-77.179772
doof,games_video,15.0,$0,GBR,London,The Forum,NW1 0EG,,
Blowtorch,games_video,,$50M,USA,Sausalito,10 Liberty Ship Way #330,94965,37.862592,-122.493561
Dabble,games_video,,$350k,USA,Berkeley,2342 Shattuck Ave. #276,94704,37.866833,-122.267796
SnapYap,games_video,,$0,USA,Boston,198 Tremont St. #286,02116,42.352096,-71.064632
RedLasso,games_video,,C$8.5M,USA,King of Prussia,620 Allendale Road,19406,40.099703,-75.39599
YouLicense,games_video,12.0,$1.1M,ISR,Tel Aviv,,63118,,
Motionbox,games_video,,$17.2M,USA,New York,80 Broad St,10004,40.606061,-73.822331
Kewego,games_video,65.0,$19.4M,FRA,Paris,"111, rue Cardinet",75017,46.227638,2.213749
WildTangent,games_video,,$84M,USA,Redmond,18578 NE 67th Ct,98052,37.09024,-95.712891
WeShow,games_video,0.0,$5M,USA,New York,,10017,40.752516,-73.973072
Picktastic,games_video,2.0,$0,USA,,,98052,47.680496,-122.120938
PlayFirst,games_video,,$37.7M,USA,San Francisco,160 Spear St,94105,37.790346,-122.40185
Kdice,games_video,,$0,CAN,,,,56.130366,-106.346771
Delve Networks,games_video,,$9.65M,USA,Seattle,206 1st Ave South,98104,47.600818,-122.334117
LiveHire,games_video,5.0,$0,USA,Edison,510 Thornall Street,08837,40.565602,-74.331811
PlayCafe,games_video,,$0,USA,Redwood City,,,37.476479,-122.221717
DeepRockDrive,games_video,,$3M,USA,Las Vegas,,89173,36.1062,-115.1374
Fancast,games_video,,$0,USA,Philadelphia,1701 JFK Blvd.,19103,,
Critical Media,games_video,,$6.2M,USA,New York,521 Fifth Avenue,10175,,
Outspark,games_video,,$23.3M,USA,San Francisco,,,37.775196,-122.419204
Zynga,games_video,115.0,$860M,USA,San Francisco,365 Vermont St.,94103,37.765158,-122.404234
Scrabulous,games_video,30.0,$0,IND,Kolkata,,,22.572646,88.363895
livecastr,games_video,,$0,NLD,Amsterdam,,,52.373812,4.890951
iVideosongs,games_video,,$3.3M,USA,,,,37.09024,-95.712891
Qtrax,games_video,,$0,USA,New York,211 Madison Avenue,10016,40.748641,-73.981947
WorldTV,games_video,5.0,$1M,IRL,Limerick,,,52.6638571,-8.6267726
WellcomeMat,games_video,6.0,$0,USA,Boulder,,80304,,
WonderHowTo,games_video,12.0,$0,USA,Santa Monica,1832 Franklin Street,90404,34.031764,-118.461884
YouPorn,games_video,,$0,USA,,,,37.09024,-95.712891
TV Shack,games_video,,$0,SWE,Stockholm''',Radmansgatan 42,114 99,59.3412176,18.0614125
Spout,games_video,,$0,USA,Grand Rapids,80 Ottawa Ave NW,,42.964911,-85.6704213
Bukisa,games_video,5.0,$0,ISR,Ramat Gan,,,,
Gawker Media,games_video,,$0,USA,New York,210 Elizabeth Street,10012,40.757929,-73.985506
idiomag,games_video,,$0,GBR,London,,,51.500152,-0.126236
Triptuber,games_video,2.0,$0,QAT,Doha,,,25.2948,51.5082
Maven Networks,games_video,0.0,$12M,USA,Cambridge,,,42.375392,-71.118487
GameDuell,games_video,200.0,$17.5M,USA,San Francisco,"703 Market St., Ste. 350","CA, 94103",,
JukeFly,games_video,2.0,$0,USA,San Jose,1631 Inglis Ln,,37.244187,-121.9053
Volo Media,games_video,,$0,MLT,Mellieha,Tas-Sellum Residence 612,MLH,,
Recombinant,games_video,10.0,$0,USA,Santa Cruz,,,36.977905,-122.03336
TV Guide,games_video,,$0,USA,Tulsa,7140 South Lewis Avenue,74136,36.0592598,-95.957865
Paramount Pictures,games_video,,$0,USA,New York,1515 Broadway,10036,40.7577017,-73.9858165
Netflix,games_video,2000.0,$230M,USA,Los Gatos,100 Winchester Circle,95032,37.25142,-121.968687
Social Gaming Network,games_video,100.0,$17.1M,USA,Los Angeles,9570 W. Pico Blvd 3rd Floor,90035,37.446823,-122.161523
Qbox,games_video,,$0,USA,Fullerton,2751 E.Chapman Ave #204,92831,33.874609,-117.881607
YouCastr,games_video,5.0,$500k,USA,Cambridge,18 Hurley Street,02141,42.36787,-71.078258
Newsclipper,games_video,0.0,$0,USA,,,,37.269175,-119.306607
Paprika Lab,games_video,30.0,$3.2M,KOR,Seoul,736-54 LS Building 3F,135-080,,
RiffTrax,games_video,8.0,$5M,USA,San Diego,12230 El Camino Real,92130,32.936973,-117.240431
World Reviewer,games_video,6.0,$0,GBR,London,129 Canalot Studios,W8 5QH,,
FameCast,games_video,,$9.7M,USA,Austin,3000 East Cesar Chavez,78702,30.268735,-97.745209
HD Greetings,games_video,5.0,$0,USA,Burlingame,700 Airport Blvd #470,94010,37.590056,-122.347654
Redux,games_video,11.0,$8.11M,USA,Berkeley,2054 University Avenue,94704,37.87168,-122.269494
CineGoGo,games_video,2.0,$0,USA,San Mateo,3 37th Ave,94403,37.534317,-122.294847
Raptr,games_video,,$27M,USA,Mountain View,701 N Shoreline Blvd,94043,37.40384,-122.07808
Swarmcast,games_video,,$0,USA,Minneapolis,,,44.977482,-93.264351
iOpener,games_video,,€10.1M,DEU,Aachen,RoermonderstraÃŸe 199,52072,50.791481,6.066681
Camlink,games_video,4.0,$0,USA,Los Gatos,,95032,40.757929,-73.985506
Inuk Networks,games_video,,$18.6M,GBR,Abercynon,"Enterprise House, Navigation Park",,,
Operation Sports,games_video,4.0,$0,USA,Woodbridge,PO Box 7016,22195,38.6581,-77.2501
Stratfor,games_video,,$0,USA,Austin,700 Lavaca Street,78701,,
Animax Entertainment,games_video,55.0,$0,USA,Van Nuys,6627 Valjean Avenue,91406,34.19099,-118.486428
2threads,games_video,30.0,$300k,AUS,sydney,"suite 5, 13-29 nichols st",2010,-33.884685,151.216427
EMOB,games_video,8.0,$0,FRA,Toulon,195 rue Jean Jaures,83000,43.124351,5.929313
I Heart Movies,games_video,2.0,$0,USA,Midland,,,43.626128,-84.227415
ulink,games_video,7.0,$0,USA,Fremont,,,37.548615,-121.988479
Panther Express,games_video,,$21.8M,USA,New York,"40 W. 20th Street, 6th Floor",10011,,
Sporting Connections,games_video,1.0,$0,AUS,Maroochydore,7/43 Dalton Drive,4558,-26.665908,153.088303
Boonty,games_video,150.0,$10M,USA,New York,54 Franklin Street,10013,40.717248,-74.002662
Generate,games_video,,$8M,USA,Santa Monica,1545 26th Street,90404,34.031328,-118.471463
Repptide,games_video,,$0,USA,San Diego,PO Box 927493,92192,32.7154,-117.1565
WebRidesTV,games_video,10.0,$0,USA,Culver City,8500 Steller Dr. Suite 7,90232,34.024453,-118.380437
Origin Digital,games_video,80.0,$0,USA,Weehawken,1200 Harbor Boulevard,07086,40.761979,-74.026033
Akoha,games_video,12.0,$1.9M,CAN,Montreal,3981 boul. St. Laurent,H2W 1Y5,45.516545,-73.578477
Ezmo,games_video,,$0,NOR,Oslo,P.O Box 454 Sentrum,0104,59.915323,10.751367
Taltopia,games_video,3.0,$800k,USA,Los Angeles,,,34.052187,-118.243425
ScanDigital,games_video,17.0,$350k,USA,Torrance,680 Knox Street,90502,33.918151,-118.41747
SportsUltra,games_video,,$0,USA,Seattle,701 n 90th st,98103,47.693994,-122.349701
Kazaa,games_video,,$0,,,,,,
politicsultra,games_video,,$0,USA,Seattle,701 n 90th st,98103,47.693994,-122.349701
ScribeStorm,games_video,12.0,$225k,USA,Fairfield,51 East Broadway Ave.,52556,41.007625,-91.962789
Crootpad,games_video,2.0,$0,USA,West Dundee,,60118,42.091078,-88.288749
Zooors Interactive Yachting Society,games_video,10.0,$0,CYP,Larnaca,"68, Stratigou Timayia",6051,,
FriendFinder Networks,games_video,350.0,$551M,MYS,Boca Raton,6800 Broken Sound Parkway,56100,26.4074809,-80.1169895
Playfish,games_video,,$21M,GBR,London,125 Kensington High St,London,51.4991094,-0.1984802
Omnisio,games_video,3.0,$0,USA,Atherton,,94027,37.455439,-122.204816
Mixwit,games_video,2.0,$0,,,,,,
Kirkland North,games_video,3.0,$225k,,,,,,
Entriq,games_video,,$0,USA,Carlsbad,1900 Wright Place,92008,33.122499,-117.289278
Dotsub,games_video,,$0,USA,New York,360 East 72nd St #C3104,10021,40.7680901,-73.9566761
Toufee,games_video,6.0,$0,IND,New Delhi,"24/B, Arjun",110018,28.559421,77.198911
Slicethepie,games_video,,$4.8M,GBR,,,,55.378051,-3.435973
Maestro,games_video,5.0,$750k,USA,Atlanta,800 Peachtree Street,30308,33.79802,-84.409621
Handipoints,games_video,,$800k,USA,Oakland,,,37.772323,-122.214897
Clipta,games_video,16.0,$0,USA,Sunnyvale,250 North Wolfe Road,94085,37.3793718,-122.0124404
Zebtab,games_video,5.0,$280k,GBR,London,Unit 11 Turnmills,EC1M 5NP,,
Viddyou,games_video,5.0,$0,USA,San Francisco,,,37.775196,-122.419204
Music Arsenal,games_video,3.0,$0,USA,Omaha,1909 S. 61st Ave.,68106,41.241101,-96.006819
XIHA,games_video,8.0,$1M,FIN,Helsinki,Mannerheimintie 12 B,00100,60.1681494,24.9410012
SonicSwap,games_video,8.0,$0,USA,Palo Alto,444 High Street,94301,37.444487,-122.163979
Cozimo,games_video,,$0,USA,Berkeley,1308 9th Street,94710,37.879726,-122.298015
MyMiniLife,games_video,4.0,$430k,USA,Palo Alto,2042 Euclid Avenue,94303,37.437328,-122.159928
tunesBag,games_video,,$0,AUT,Vienna,Erdbergasse 10/38,1030,,
Mytopia,games_video,29.0,$3.5M,USA,Palo Alto,,94301,34.007967,-118.489681
GoCrossCampus,games_video,25.0,$375k,USA,New York,c/o Sunshine Suites,10003,,
DivShare,games_video,,$0,USA,Reston,11654 Plaza America,20190,42.958747,-75.963326
Pikum,games_video,15.0,$5.92M,GBR,London,7 Chalcot Road,Nw1 8lh,51.539778,-0.152998
HungryFlix,games_video,4.0,$0,USA,Caldwell,,,40.84014,-74.276451
ibeatyou,games_video,,$1M,USA,Santa Monica,,90408,34.0195,-118.4906
itbreaks,games_video,4.0,$0,FRA,Pre st gervais,28 rue carnot,93310,48.887824,2.402304
Episodic,games_video,6.0,$0,USA,,,,37.269175,-119.306607
Rosterbot,games_video,,$0,CAN,Vancouver,1057 Homer St.,BC V6B2X5,49.2767775,-123.1210616
Easyteammanager,games_video,,$0,,,,,,
YourTeamOnline,games_video,2.0,C$50k,CAN,Saint John,42 Princess St.,E2L 1K2,45.271401,-66.061181
Realtime Worlds,games_video,225.0,$82.8M,GBR,Dundee,,,56.461428,-2.968111
AudioMicro,games_video,10.0,$1.25M,USA,Sherman Oaks,13351-D Riverside Dr #219,91423,34.153588,-118.422495
stickychicken,games_video,2.0,$0,USA,San Francisco,,,37.775196,-122.419204
Cellufun,games_video,30.0,$5.23M,USA,New York,33 West 19th Street,10011,40.73993,-73.9930489
Zankapfel,games_video,2.0,$0,DEU,Munich,Thalkirchnerstr. 55,80337,48.122346,11.558864
eRepublik,games_video,30.0,€2.75M,ESP,Madrid,Almagro 22,28010,40.43094,-3.6952896
Topspin Media,games_video,,$0,USA,Santa Monica,1538 20th Street,90404,34.02634,-118.477689
Harmonix Music Systems,games_video,,$0,USA,Cambridge,625 Massachusetts Avenue,02139,,
Myplaylist,games_video,1.0,$0,IND,,,,20.593684,78.96288
Guitarati,games_video,,$0,USA,,,,39.7393,-89.266508
Teet,games_video,,$0,LVA,,,,56.879635,24.603189
South Park Studios,games_video,,$0,USA,New York,1775 Broadway,10019,40.766332,-73.981828
FoxyTunes,games_video,,$0,,,,,,
Yamelo,games_video,,$0,NLD,,,,,
Vivity Labs,games_video,10.0,$1M,CAN,Vancouver,21 Water Street,V6B 1A1,49.282249,-123.108456
Velocix,games_video,,$25M,GBR,Cambridge,326 Cambridge Science Park,CB4 0WG,,
Kontend,games_video,,$0,,,,,,
Comcast,games_video,100000.0,$725M,USA,Philadelphia,1701 JFK Blvd,19103,39.9525762,-75.1652518
Monkeysee,games_video,,$1M,USA,Great Falls,774 Walker Road 2nd Floor,22066,,
NEHST Studios,games_video,,$0,USA,New York,"545 8th Avenue, Suite 401",10018,40.75451,-73.992193
walabok,games_video,2.0,$0,,,,,,
YUPPTV,games_video,70.0,$0,USA,Alpharetta,710 Ashepoint Way,30004,17.415429,78.434422
Plexonic,games_video,11.0,$0,ARM,Yerevan,Alek Manukyan 9,375070,,
Televisa,games_video,,$0,MEX,Mexico,Vasco de Quiroga 2000 Santa Fe,01210,,
Beep Interactive,games_video,2.0,$0,AUS,Melbourne,,,-37.814251,144.963169
PluggedIn,games_video,0.0,$2M,USA,Santa Monica,,,34.007967,-118.489681
Sutros,games_video,3.0,$0,USA,San Francisco,3288 21st street #185,94110,37.756922,-122.42087
imcandy,games_video,4.0,$0,ISR,,,,31.046051,34.851612
TiBconcerts,games_video,2.0,$0,CAN,,,,,
Medioh!,games_video,15.0,$0,USA,Boulder,1690 30th Street,80301,40.016582,-105.253601
Podbean LLC,games_video,10.0,$0,USA,Wilmington,"501 Silverside Road, Suite 105",19809,39.786948,-75.485407
Drop Magazine,games_video,,$0,USA,Detroit/NYC,,,40.543996,-74.179231
MUBI,games_video,20.0,$8.25M,USA,Palo Alto,668 High Street,94301,37.44236,-122.161025
Astream,games_video,8.0,$0,GBR,London,"2nd Floor, 36-37 Featherstone Street",EC1Y 8QZ,,
Modern Feed,games_video,123.0,$3M,USA,Los Angeles,818 N. La Brea Ave.,90038,34.085749,-118.343791
Omnivents,games_video,5.0,$0,USA,Palo Alto,,94301,37.44296,-122.151198
FeedFlix,games_video,2.0,$0,USA,Sunnyvale,,94087,37.35351,-122.030476
Gracenote,games_video,,$33.4M,USA,Emeryville,"2000 Powell Street, Suite 1500",94608,,
SuperVirals,games_video,5.0,$0,AUS,Surry Hills,5/50 Reservoir St,2010,-33.88106,151.209351
Oortle,games_video,,$0,USA,,,,37.269175,-119.306607
weeloop,games_video,,$0,FRA,Orvault,15 ter rue de Provence,44700,47.24496,-1.588593
YouBeats,games_video,3.0,$0,,,,,,
Calabash Music,games_video,,$0,USA,Somerville,249 Elm Street,02144,42.395308,-71.121885
Chilirec,games_video,,$0,SWE,Goteborg AB,,,57.77578,11.875103
Serious Business,games_video,22.0,$4M,USA,San Francisco,580 Market Street,94104,37.7893215,-122.4013624
Blubert,games_video,,$0,BRB,,"#108, Rowans Park,",,,
Anistock,games_video,20.0,$0,USA,Carlsbad,,92011,33.108559,-117.298979
twit+,games_video,1.0,$0,GBR,Corby,,NN18,52.472029,-0.698361
URockHard,games_video,,$0,USA,,,,34.0424511,-84.2756367
Sony BMG Music Entertainment,games_video,,$0,USA,New York,550 Madison Avenue,10022-3211,,
Kabam,games_video,650.0,$125M,USA,San Francisco,795 Folsom Street,94107,37.3944561,-122.0785314
MyAnimeList,games_video,,$0,USA,Yorba Linda,,92887,33.887112,-117.729229
Datz,games_video,,$0,GBR,Oxford,Unipart House,OX4 2PG,,
Turbine,games_video,200.0,$76.6M,USA,Westwood,"60 Glacier Drive, Suite 4000",,42.214483,-71.185964
XSketch,games_video,,$0,CAN,,,,56.130366,-106.346771
Streamzy,games_video,,$0,,,,,,
Rekatu,games_video,5.0,$0,USA,Tucson,838 E Adams Street,85719,32.240301,-110.958319
GPokr,games_video,1.0,$0,CAN,Toronto,,,43.670233,-79.386755
GodTube,games_video,,$32.5M,USA,Plano,7160 Dallas Parkway,75024,33.075067,-96.823962
Jinni,games_video,35.0,$8.1M,ISR,Tel Aviv,,,32.0554,34.7595
Citizen Sports,games_video,27.0,$10M,USA,San Francisco,525 Brannan St,94107,37.777513,-122.397044
Text America,games_video,,$0,USA,,,,37.09024,-95.712891
FantasyBook,games_video,3.0,$0,USA,Daly City,191 Warwick St,94105,37.652325,-122.464349
CrowdChess,games_video,,$0,,,,,,
OVGuide,games_video,,$7.98M,USA,Los Angeles,,,34.052187,-118.243425
Layerstream,games_video,4.0,$0,USA,Palo Alto,516 Bryant St,,37.445714,-122.161247
sevenload,games_video,67.0,€25M,DEU,Cologne,Vogelsanger Str. 78,50823,50.945289,6.921546
amazingtunes,games_video,,£1.4M,GBR,Newcastle Upon Tyne,19 Grey St,NE1 6EE,54.971346,-1.611141
RouteNote,games_video,,$0,GBR,Redruth,3 West End,TR15 2RZ,50.231464,-5.236903
Fuzz,games_video,6.0,$0,USA,Santa Clara,"3979 Freedom Circle, Suite 610",95054,37.760524,-122.387799
Posh24,games_video,5.0,$0,USA,Stockholm,5405 Wilshire Blvd Suite 245,CA 90036,59.332788,18.064488
MeFeedia,games_video,13.0,$250k,USA,Burbank,,,34.155869,-118.335292
Pitchfork Media,games_video,,$0,USA,Chicago,1834 W. NORTH AVE. #2,60622,41.910737,-87.674015
Canal Internet,games_video,,$0,USA,Miami Beach,,,25.813099,-80.122986
Hobnox,games_video,,$0,DEU,Munich,Infanteriestrasse 19,80797,48.1607175,11.553749
Sony Pictures Entertainment,games_video,,$0,USA,,,,37.09024,-95.712891
Sometrics,games_video,35.0,$5.55M,USA,El Segundo,,90245,34.048857,-118.251343
VivoCom,games_video,22.0,$0,ESP,Madrid,"c/ Princesa, 31 2Âºder",28008,,
Wuapi,games_video,,$0,ESP,Barcelona,,,41.387917,2.169919
GameFly,games_video,,$10.7M,USA,Los Angeles,11405,90066,33.934558,-118.3962622
Fliqz,games_video,25.0,$12.2M,USA,Emeryville,1266 66th St.,94608,37.848641,-122.289498
YouTomb,games_video,,$0,USA,Cambridge,,,42.375392,-71.118487
Batipi,games_video,5.0,$0,CAN,Toronto,701 King Street West,M5V 2W7,43.6436826,-79.4038652
Moblyng,games_video,,$19.1M,USA,Redwood City,901 Marshall St. #125,94063,37.453665,-122.229069
Stagevu,games_video,3.0,$0,,,,,,
musocity,games_video,1.0,$0,,,,,,
PodComics Studio,games_video,2.0,$0,CRI,Heredia,150 m. n. de ICE,,,
Kamera,games_video,,$0,SWE,Stockholm,Drottninggatan 92-94,,59.337161,18.057901
sph3re,games_video,1.0,$0,FRA,Martigues,11 rue Philippe Jourde,13500,43.400422,5.055732
itMayBe Media,games_video,3.0,$0,USA,Manville,436 W Frech Ave,08835,40.531199,-74.600858
Open Television Network,games_video,3.0,$0,USA,Burbank,519 S. Victory Blvd,91502,34.169493,-118.312902
